1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10764.8709,10764.8709,10764.8709,10764.8709,10764.1541,10764.1541,10764.1541,10764.1541,10764.1541,10764.1541,10767.3778,10767.3778,10767.3778,10767.3778,10767.3778,10767.3778,10768.0049,10768.0049,10768.0049,10768.0049
10768.0049,10768.0049,10766.1430,10766.1430,10766.1430,10766.1430,10766.1430,10766.1430,10771.6900,10771.6900,10771.6900,10771.6900,10771.6900,10771.6900,10768.8681,10768.8681,10768.8681,10768.8681,10768.8681,10768.8681
10776.8687,10776.8687,10776.8687,10776.8687,10776.8687,10776.8687,10776.2776,10776.2776,10776.2776,10776.2776,10776.2776,10776.2776,10775.4494,10775.4494,10775.4494,10775.4494,10775.4494,10775.6461,10775.6461,10775.6461
10775.6461,10775.6461,10775.6461,10777.1489,10777.1489,10777.1489,10777.1489,10777.1489,10777.1489,10779.4122,10779.4122,10779.4122,10779.4122,10779.4122,10779.4122,10775.8215,10775.8215,10775.8215,10775.8215,10775.8215
10775.8215,10775.7156,10775.7156,10775.7156,10775.7156,10775.7156,10775.7156,10781.2927,10781.2927,10781.2927,10781.2927,10781.2927,10781.2927,10778.4353,10778.4353,10778.4353,10778.4353,10778.4353,10778.4353,10777.8770
10777.8770,10777.8770,10777.8770,10777.8770,10777.8770,10785.8834,10785.8834,10785.8834,10785.8834,10785.8834,10785.8834,10784.2071,10784.2071,10784.2071,10784.2071,10784.2071,10784.2071,10781.8285,10781.8285,10781.8285
10781.8285,10781.8285,10781.8285,10779.0489,10779.0489,10779.0489,10779.0489,10779.0489,10779.0489,10779.1978,10779.1978,10779.1978,10779.1978,10779.1978,10777.0951,10777.0951,10777.0951,10777.0951,10777.0951,10777.0951
10775.4965,10775.4965,10775.4965,10775.4965,10775.4965,10775.4965,10778.1990,10778.1990,10778.1990,10778.1990,10778.1990,10778.1990,10779.1092,10779.1092,10779.1092,10779.1092,10779.1092,10779.1092,10780.0010,10780.0010
10780.0010,10780.0010,10780.0010,10780.0010,10775.1016,10775.1016,10775.1016,10775.1016,10775.1016,10775.1016,10765.1822,10765.1822,10765.1822,10765.1822,10765.1822,10765.1822,10761.0171,10761.0171,10761.0171,10761.0171
10761.0171,10761.0171,10760.7867,10760.7867,10760.7867,10760.7867,10760.7867,10760.7867,10755.6055,10755.6055,10755.6055,10755.6055,10755.6055,10755.6055,10752.9989,10752.9989,10752.9989,10752.9989,10752.9989,10752.9989
10753.6876,10753.6876,10753.6876,10753.6876,10753.6876,10749.7267,10749.7267,10749.7267,10749.7267,10749.7267,10749.7267,10749.5767,10749.5767,10749.5767,10749.5767,10749.5767,10749.5767,10748.7548,10748.7548,10748.7548
10748.7548,10748.7548,10748.7548,10745.0755,10745.0755,10745.0755,10745.0755,10745.0755,10745.0755,10748.9146,10748.9146,10748.9146,10748.9146,10748.9146,10748.9146,10750.2876,10750.2876,10750.2876,10750.2876,10750.2876
10750.2876,10739.8902,10739.8902,10739.8902,10739.8902,10739.8902,10739.8902,10744.1109,10744.1109,10744.1109,10744.1109,10744.1109,10744.1109,10744.1601,10744.1601,10744.1601,10744.1601,10744.1601,10744.1601,10742.2872
10742.2872,10742.2872,10742.2872,10742.2872,10742.2872,10744.8559,10744.8559,10744.8559,10744.8559,10744.8559,10744.8559,10746.3971,10746.3971,10746.3971,10746.3971,10746.3971,10745.7107,10745.7107,10745.7107,10745.7107
10745.7107,10745.7107,10745.6882,10745.6882,10745.6882,10745.6882,10745.6882,10745.6882,10748.2202,10748.2202,10748.2202,10748.2202,10748.2202,10748.2202,10746.4534,10746.4534,10746.4534,10746.4534,10746.4534,10748.6118
10748.6118,10748.6118,10748.6118,10748.6118,10748.6118,10749.2042,10749.2042,10749.2042,10749.2042,10749.2042,10749.2042,10750.5794,10750.5794,10750.5794,10750.5794,10750.5794,10750.5794,10755.4237,10755.4237,10755.4237
10755.4237,10755.4237,10755.4237,10759.9832,10759.9832,10759.9832,10759.9832,10759.9832,10759.9832,10751.5718,10751.5718,10751.5718,10751.5718,10751.5718,10751.5718,10749.3119,10749.3119,10749.3119,10749.3119,10749.3119
10746.3062,10746.3062,10746.3062,10746.3062,10746.3062,10746.3062,10739.9555,10739.9555,10739.9555,10739.9555,10739.9555,10739.9555,10735.0171,10735.0171,10735.0171,10735.0171,10735.0171,10735.0171,10738.0867,10738.0867
10738.0867,10738.0867,10738.0867,10749.3484,10749.3484,10749.3484,10749.3484,10749.3484,10749.3484,10744.6402,10744.6402,10744.6402,10744.6402,10744.6402,10744.6402,10742.3013,10742.3013,10742.3013,10742.3013,10742.3013
10742.3013,10745.2528,10745.2528,10745.2528,10745.2528,10742.9232,10742.9232,10742.9232,10742.9232,10742.9232,10742.9232,10744.7340,10744.7340,10744.7340,10744.7340,10744.7340,10744.7340,10739.4460,10739.4460,10739.4460
10739.4460,10739.4460,10739.4460,10743.2318,10743.2318,10743.2318,10743.2318,10743.2318,10743.2318,10742.3339,10742.3339,10742.3339,10742.3339,10742.3339,10742.3339,10741.1203,10741.1203,10741.1203,10741.1203,10741.1203
10741.1203,10748.7365,10748.7365,10748.7365,10748.7365,10748.7365,10748.7365,10750.0945,10750.0945,10750.0945,10750.0945,10750.0945,10751.5432,10751.5432,10751.5432,10751.5432,10751.5432,10751.5432,10754.8528,10754.8528
10754.8528,10754.8528,10754.8528,10754.8528,10754.3348,10754.3348,10754.3348,10754.3348,10754.3348,10754.3348,10756.1950,10756.1950,10756.1950,10756.1950,10756.1950,10756.1950,10752.2248,10752.2248,10752.2248,10752.2248
10752.2248,10752.2248,10751.9627,10751.9627,10751.9627,10751.9627,10751.9627,10751.9627,10752.3238,10752.3238,10752.3238,10752.3238,10752.3238,10752.3238,10752.7162,10752.7162,10752.7162,10752.7162,10752.7162,10752.7162
10756.5313,10756.5313,10756.5313,10756.5313,10756.5313,10756.5313,10762.7386,10762.7386,10762.7386,10762.7386,10762.7386,10762.7386,10757.4432,10757.4432,10757.4432,10757.4432,10757.4432,10757.4432,10758.7301,10758.7301
10758.7301,10758.7301,10758.7301,10758.7301,10767.4053,10767.4053,10767.4053,10767.4053,10767.4053,10767.4053,10766.8791,10766.8791,10766.8791,10766.8791,10766.8791,10766.8791,10769.4286,10769.4286,10769.4286,10769.4286
10769.4286,10769.4286,10769.2216,10769.2216,10769.2216,10769.2216,10769.2216,10767.6230,10767.6230,10767.6230,10767.6230,10767.6230,10767.6230,10769.6671,10769.6671,10769.6671,10769.6671,10769.6671,10770.1500,10770.1500
10770.1500,10770.1500,10770.1500,10770.1500,10770.1500,10769.1452,10769.1452,10769.1452,10769.1452,10769.1452,10769.1452,10769.5897,10769.5897,10769.5897,10769.5897,10769.5897,10769.5897,10771.1614,10771.1614,10771.1614
10771.1614,10771.1614,10771.1614,10767.0219,10767.0219,10767.0219,10767.0219,10767.0219,10767.0219,10772.8207,10772.8207,10772.8207,10772.8207,10772.8207,10772.8207,10760.0837,10760.0837,10760.0837,10760.0837,10760.0837
10760.0837,10759.0474,10759.0474,10759.0474,10759.0474,10759.0474,10753.5974,10753.5974,10753.5974,10753.5974,10753.5974,10753.5974,10753.5974,10753.5974,10753.5974,10753.5974,10753.5974,10753.5974,10753.5479,10753.5479
10753.5479,10753.5479,10753.5479,10753.5479,10749.3061,10749.3061,10749.3061,10749.3061,10749.3061,10749.3061,10748.7693,10748.7693,10748.7693,10748.7693,10748.7693,10748.7693,10744.9018,10744.9018,10744.9018,10744.9018
10744.9018,10744.9018,10746.6380,10746.6380,10746.6380,10746.6380,10746.6380,10746.6380,10745.0327,10745.0327,10745.0327,10745.0327,10745.0327,10745.0327,10745.6284,10745.6284,10745.6284,10745.6284,10745.6284,10743.8970
10743.8970,10743.8970,10743.8970,10743.8970,10743.8970,10741.1437,10741.1437,10741.1437,10741.1437,10741.1437,10741.1437,10741.7970,10741.7970,10741.7970,10741.7970,10741.7970,10741.7970,10729.4274,10729.4274,10729.4274
10729.4274,10729.4274,10729.4274,10726.2306,10726.2306,10726.2306,10726.2306,10726.2306,10726.2306,10730.7474,10730.7474,10730.7474,10730.7474,10730.7474,10730.7474,10731.8361,10731.8361,10731.8361,10731.8361,10731.8361
10731.8361,10724.5982,10724.5982,10724.5982,10724.5982,10724.5982,10724.5982,10724.6432,10724.6432,10724.6432,10724.6432,10727.2580,10727.2580,10727.2580,10727.2580,10727.2580,10727.2580,10727.2580,10727.2580,10728.7613
10728.7613,10728.7613,10728.7613,10728.7613,10728.7613,10726.4619,10726.4619,10726.4619,10726.4619,10726.4619,10726.4619,10732.8230,10732.8230,10732.8230,10732.8230,10732.8230,10732.8230,10727.8552,10727.8552,10727.8552
10727.8552,10727.8552,10723.0759,10723.0759,10723.0759,10723.0759,10723.0759,10723.0759,10721.9537,10721.9537,10721.9537,10721.9537,10721.9537,10721.9537,10723.8566,10723.8566,10723.8566,10723.8566,10723.8566,10723.8566
10724.5060,10724.5060,10724.5060,10724.5060,10724.5060,10724.5060,10725.0138,10725.0138,10725.0138,10725.0138,10725.0138,10725.0138,10731.5748,10731.5748,10731.5748,10731.5748,10731.5748,10731.5748,10738.2249,10738.2249
10738.2249,10738.2249,10738.2249,10738.2249,10741.4098,10741.4098,10741.4098,10741.4098,10741.4098,10741.4098,10736.3480,10736.3480,10736.3480,10736.3480,10736.3480,10736.3480,10733.1225,10733.1225,10733.1225,10733.1225
10733.1225,10733.1225,10731.8903,10731.8903,10731.8903,10731.8903,10731.8903,10731.8903,10730.9249,10730.9249,10730.9249,10730.9249,10730.9249,10730.9249,10721.9984,10721.9984,10721.9984,10721.9984,10721.9984,10724.2539
10724.2539,10724.2539,10724.2539,10724.2539,10724.2539,10722.9122,10722.9122,10722.9122,10722.9122,10722.9122,10722.9122,10723.4645,10723.4645,10723.4645,10723.4645,10723.4645,10723.4645,10696.7274,10696.7274,10696.7274
10696.7274,10696.7274,10696.7274,10689.7482,10689.7482,10689.7482,10689.7482,10689.7482,10689.7482,10695.9881,10695.9881,10695.9881,10695.9881,10695.9881,10695.9881,10695.6058,10695.6058,10695.6058,10695.6058,10695.6058
10695.6058,10692.5230,10692.5230,10692.5230,10692.5230,10692.5230,10692.5230,10685.9175,10685.9175,10685.9175,10685.9175,10685.9175,10686.8903,10686.8903,10686.8903,10686.8903,10686.8903,10686.8903,10686.6078,10686.6078
10686.6078,10686.6078,10686.6078,10686.6078,10681.2033,10681.2033,10681.2033,10681.2033,10681.2033,10681.2033,10677.9480,10677.9480,10677.9480,10677.9480,10677.9480,10681.2000,10681.2000,10681.2000,10681.2000,10681.2000
10681.2000,10677.3686,10677.3686,10677.3686,10677.3686,10677.3686,10677.3686,10678.1629,10678.1629,10678.1629,10678.1629,10678.1629,10678.1629,10681.0938,10681.0938,10681.0938,10681.0938,10681.0938,10681.0938,10675.7837
10675.7837,10675.7837,10675.7837,10675.7837,10675.7837,10682.7628,10682.7628,10682.7628,10682.7628,10682.7628,10682.7628,10686.1418,10686.1418,10686.1418,10686.1418,10686.1418,10686.1418,10691.5125,10691.5125,10691.5125
10691.5125,10691.5125,10691.5125,10682.6304,10682.6304,10682.6304,10682.6304,10682.6304,10682.6304,10681.4088,10681.4088,10681.4088,10681.4088,10681.4088,10681.4088,10681.8116,10681.8116,10681.8116,10681.8116,10681.8116
10682.5719,10682.5719,10682.5719,10682.5719,10682.5719,10682.5719,10683.4999,10683.4999,10683.4999,10683.4999,10683.4999,10683.4999,10685.3364,10685.3364,10685.3364,10685.3364,10685.3364,10685.3364,10687.1196,10687.1196
10687.1196,10687.1196,10687.1196,10687.1196,10690.1198,10690.1198,10690.1198,10690.1198,10690.1198,10690.1198,10693.3908,10693.3908,10693.3908,10693.3908,10693.3908,10693.3908,10692.3712,10692.3712,10692.3712,10692.3712
10692.3712,10692.3712,10691.4622,10691.4622,10691.4622,10691.4622,10691.4622,10691.4622,10689.9011,10689.9011,10689.9011,10689.9011,10689.9011,10689.9011,10685.9490,10685.9490,10685.9490,10685.9490,10685.9490,10685.9490
10684.1187,10684.1187,10684.1187,10684.1187,10684.1187,10684.1187,10683.7785,10683.7785,10683.7785,10683.7785,10683.7785,10688.5507,10688.5507,10688.5507,10688.5507,10688.5507,10688.5507,10687.9687,10687.9687,10687.9687
10687.9687,10687.9687,10687.9687,10688.3514,10688.3514,10688.3514,10688.3514,10688.3514,10688.3514,10693.7001,10693.7001,10693.7001,10693.7001,10693.7001,10693.7001,10693.9520,10693.9520,10693.9520,10693.9520,10693.9520
10693.9520,10693.8585,10693.8585,10693.8585,10693.8585,10693.8585,10693.8585,10690.4194,10690.4194,10690.4194,10690.4194,10690.4194,10690.4194,10685.5517,10685.5517,10685.5517,10685.5517,10685.5517,10676.7388,10676.7388
10676.7388,10676.7388,10676.7388,10676.7388,10666.2494,10666.2494,10666.2494,10666.2494,10666.2494,10666.2494,10655.3985,10655.3985,10655.3985,10655.3985,10655.3985,10655.3985,10651.1785,10651.1785,10651.1785,10651.1785
10651.1785,10651.1785,10652.8739,10652.8739,10652.8739,10652.8739,10652.8739,10652.8739,10650.8307,10650.8307,10650.8307,10650.8307,10650.8307,10650.8307,10656.4982,10656.4982,10656.4982,10656.4982,10656.4982,10656.4982
10657.1124,10657.1124,10657.1124,10657.1124,10657.1124,10657.1124,10651.0760,10651.0760,10651.0760,10651.0760,10651.0760,10651.0760,10655.8271,10655.8271,10655.8271,10655.8271,10655.8271,10655.8271,10652.6710,10652.6710
10652.6710,10652.6710,10652.6710,10652.6710,10647.3514,10647.3514,10647.3514,10647.3514,10647.3514,10647.3514,10650.2631,10650.2631,10650.2631,10650.2631,10650.2631,10653.8876,10653.8876,10653.8876,10653.8876,10653.8876
10653.8876,10658.1527,10658.1527,10658.1527,10658.1527,10658.1527,10658.1527,10664.2409,10664.2409,10664.2409,10664.2409,10664.2409,10664.2409,10659.4617,10659.4617,10659.4617,10659.4617,10659.4617,10659.4617,10657.7520
10657.7520,10657.7520,10657.7520,10657.7520,10657.7520,10663.2824,10663.2824,10663.2824,10663.2824,10663.2824,10663.2824,10658.4318,10658.4318,10658.4318,10658.4318,10658.4318,10658.4318,10647.3656,10647.3656,10647.3656
10647.3656,10647.3656,10647.3656,10646.6882,10646.6882,10646.6882,10646.6882,10646.6882,10646.6882,10654.2281,10654.2281,10654.2281,10654.2281,10654.2281,10654.2281,10648.8924,10648.8924,10648.8924,10648.8924,10648.8924
10652.3536,10652.3536,10652.3536,10652.3536,10652.3536,10652.3536,10658.4525,10658.4525,10658.4525,10658.4525,10658.4525,10658.4525,10661.7099,10661.7099,10661.7099,10661.7099,10661.7099,10661.7099,10661.7033,10661.7033
10661.7033,10661.7033,10661.7033,10661.7033,10659.7780,10659.7780,10659.7780,10659.7780,10659.7780,10659.7780,10654.9347,10654.9347,10654.9347,10654.9347,10654.9347,10654.9347,10655.0712,10655.0712,10655.0712,10655.0712
10655.0712,10655.0712,10661.3261,10661.3261,10661.3261,10661.3261,10661.3261,10661.3261,10663.9800,10663.9800,10663.9800,10663.9800,10663.9800,10663.9800,10665.3691,10665.3691,10665.3691,10665.3691,10665.3691,10665.3691
10664.0914,10664.0914,10664.0914,10664.0914,10664.0914,10664.0914,10666.4594,10666.4594,10666.4594,10666.4594,10666.4594,10666.4594,10665.4964,10665.4964,10665.4964,10665.4964,10665.4964,10665.4515,10665.4515,10665.4515
10665.4515,10665.4515,10665.4515,10664.9128,10664.9128,10664.9128,10664.9128,10664.9128,10664.9128,10672.1372,10672.1372,10672.1372,10672.1372,10672.1372,10672.1372,10665.5409,10665.5409,10665.5409,10665.5409,10665.5409
10665.5409,10667.6042,10667.6042,10667.6042,10667.6042,10667.6042,10667.6042,10661.8008,10661.8008,10661.8008,10661.8008,10661.8008,10661.8008,10661.9635,10661.9635,10661.9635,10661.9635,10661.9635,10661.9635,10662.4082
10662.4082,10662.4082,10662.4082,10662.4082,10662.4082,10658.4076,10658.4076,10658.4076,10658.4076,10658.4076,10658.4076,10676.6207,10676.6207,10676.6207,10676.6207,10676.6207,10676.6207,10679.1680,10679.1680,10679.1680
10679.1680,10679.1680,10679.1680,10680.8137,10680.8137,10680.8137,10680.8137,10680.8137,10680.8137,10681.0813,10681.0813,10681.0813,10681.0813,10681.0813,10681.0813,10680.9640,10680.9640,10680.9640,10680.9640,10680.9640
10679.7984,10679.7984,10679.7984,10679.7984,10679.7984,10679.7984,10679.4424,10679.4424,10679.4424,10679.4424,10679.4424,10679.4424,10677.7387,10677.7387,10677.7387,10677.7387,10677.7387,10677.7387,10674.5643,10674.5643
10674.5643,10674.5643,10674.5643,10674.5643,10673.5662,10673.5662,10673.5662,10673.5662,10673.5662,10673.5662,10674.2752,10674.2752,10674.2752,10674.2752,10674.2752,10674.2752,10677.9214,10677.9214,10677.9214,10677.9214
10677.9214,10677.9214,10678.1398,10678.1398,10678.1398,10678.1398,10678.1398,10676.1871,10676.1871,10676.1871,10676.1871,10676.1871,10676.1871,10675.1426,10675.1426,10675.1426,10675.1426,10675.1426,10675.1426,10676.1478
10676.1478,10676.1478,10676.1478,10676.1478,10672.8053,10672.8053,10672.8053,10672.8053,10672.8053,10672.8053,10672.8053,10670.3399,10670.3399,10670.3399,10670.3399,10670.3399,10670.3399,10670.7606,10670.7606,10670.7606
10670.7606,10677.2811,10677.2811,10677.2811,10677.2811,10677.2811,10677.2811,10677.2811,10677.2811,10673.6460,10673.6460,10673.6460,10673.6460,10673.6460,10673.6460,10677.5462,10677.5462,10677.5462,10677.5462,10675.0445
10675.0445,10675.0445,10675.0445,10675.0445,10675.0445,10677.5913,10677.5913,10677.5913,10677.5913,10677.5913,10677.5913,10682.4589,10682.4589,10682.4589,10682.4589,10682.4589,10682.4589,10682.4589,10684.8990,10684.8990
10684.8990,10684.8990,10684.8990,10687.6561,10687.6561,10687.6561,10687.6561,10687.6561,10687.6561,10691.0611,10691.0611,10691.0611,10691.0611,10691.0611,10691.0611,10690.8352,10690.8352,10690.8352,10690.8352,10690.8352
10690.8352,10690.8352,10700.8683,10700.8683,10700.8683,10700.8683,10703.9219,10703.9219,10703.9219,10703.9219,10703.9219,10703.9219,10708.1675,10708.1675,10708.1675,10708.1675,10708.1675,10708.1675,10719.9989,10719.9989
10719.9989,10719.9989,10719.9989,10719.9989,10728.7303,10728.7303,10728.7303,10728.7303,10728.7303,10728.7303,10731.3447,10731.3447,10731.3447,10731.3447,10731.3447,10731.3447,10731.3447,10733.2403,10733.2403,10733.2403
10733.2403,10733.2403,10733.2403,10732.9915,10732.9915,10732.9915,10732.9915,10732.9915,10738.3735,10738.3735,10738.3735,10738.3735,10738.3735,10738.3735,10738.3735,10739.6911,10739.6911,10739.6911,10739.6911,10739.6911
10739.6911,10742.6075,10742.6075,10742.6075,10742.6075,10742.6075,10737.0373,10737.0373,10737.0373,10737.0373,10737.0373,10737.0373,10735.4888,10735.4888,10735.4888,10735.4888,10735.4888,10735.4888,10735.1655,10735.1655
10735.1655,10735.1655,10735.1655,10739.7882,10739.7882,10739.7882,10739.7882,10739.7882,10739.7882,10733.0914,10733.0914,10733.0914,10733.0914,10733.0914,10733.0914,10732.6602,10732.6602,10732.6602,10732.6602,10732.6602
