1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
12222.3742,12222.3742,12225.4188,12225.4188,12225.4188,12225.4188,12225.4188,12225.4188,12228.5492,12228.5492,12228.5492,12228.5492,12228.5492,12228.5492,12229.7649,12229.7649,12229.7649,12229.7649,12229.7649,12229.7649
12231.0200,12231.0200,12231.0200,12231.0200,12231.0200,12231.0200,12231.7291,12231.7291,12231.7291,12231.7291,12231.7291,12231.7291,12233.4163,12233.4163,12233.4163,12233.4163,12233.4163,12233.4163,12232.6438,12232.6438
12232.6438,12232.6438,12232.6438,12232.6438,12220.3515,12220.3515,12220.3515,12220.3515,12220.3515,12220.3515,12194.9368,12194.9368,12194.9368,12194.9368,12194.9368,12194.9368,12188.0172,12188.0172,12188.0172,12188.0172
12188.0172,12195.2338,12195.2338,12195.2338,12195.2338,12195.2338,12195.2338,12182.9805,12182.9805,12182.9805,12182.9805,12182.9805,12182.9805,12181.6993,12181.6993,12181.6993,12181.6993,12181.6993,12181.6993,12170.4633
12170.4633,12170.4633,12170.4633,12170.4633,12170.4633,12203.4083,12203.4083,12203.4083,12203.4083,12203.4083,12203.4083,12190.9040,12190.9040,12190.9040,12190.9040,12190.9040,12190.9040,12200.9477,12200.9477,12200.9477
12200.9477,12200.9477,12200.9477,12190.9384,12190.9384,12190.9384,12190.9384,12190.9384,12190.9384,12196.0803,12196.0803,12196.0803,12196.0803,12196.0803,12196.0803,12183.7798,12183.7798,12183.7798,12183.7798,12183.7798
12183.7798,12173.5415,12173.5415,12173.5415,12173.5415,12173.5415,12173.5415,12152.5880,12152.5880,12152.5880,12152.5880,12152.5880,12152.5880,12155.2055,12155.2055,12155.2055,12155.2055,12155.2055,12099.5183,12099.5183
12099.5183,12099.5183,12099.5183,12099.5183,12105.1472,12105.1472,12105.1472,12105.1472,12105.1472,12105.1472,12121.3832,12121.3832,12121.3832,12121.3832,12121.3832,12121.3832,12170.0000,12170.0000,12170.0000,12170.0000
12170.0000,12170.0000,12159.5403,12159.5403,12159.5403,12159.5403,12159.5403,12159.5403,12154.3344,12154.3344,12154.3344,12154.3344,12154.3344,12154.3344,12160.4744,12160.4744,12160.4744,12160.4744,12160.4744,12160.4744
12175.9130,12175.9130,12175.9130,12175.9130,12175.9130,12175.9130,12183.5719,12183.5719,12183.5719,12183.5719,12183.5719,12183.5719,12195.2178,12195.2178,12195.2178,12195.2178,12195.2178,12195.2178,12185.8641,12185.8641
12185.8641,12185.8641,12185.8641,12185.8641,12193.2286,12193.2286,12193.2286,12193.2286,12193.2286,12187.9574,12187.9574,12187.9574,12187.9574,12187.9574,12187.9574,12171.2607,12171.2607,12171.2607,12171.2607,12171.2607
12171.2607,12164.0084,12164.0084,12164.0084,12164.0084,12164.0084,12164.0084,12156.1460,12156.1460,12156.1460,12156.1460,12156.1460,12156.1460,12129.6905,12129.6905,12129.6905,12129.6905,12129.6905,12129.6905,12113.3620
12113.3620,12113.3620,12113.3620,12113.3620,12113.3620,12104.3585,12104.3585,12104.3585,12104.3585,12104.3585,12104.3585,12067.0043,12067.0043,12067.0043,12067.0043,12067.0043,12067.0043,11957.1713,11957.1713,11957.1713
11957.1713,11957.1713,11957.1713,12013.8027,12013.8027,12013.8027,12013.8027,12013.8027,12013.8027,12063.7921,12063.7921,12063.7921,12063.7921,12063.7921,12063.7921,12077.6211,12077.6211,12077.6211,12077.6211,12077.6211
12077.6211,12041.4151,12041.4151,12041.4151,12041.4151,12041.4151,12073.1236,12073.1236,12073.1236,12073.1236,12073.1236,12073.1236,12064.1718,12064.1718,12064.1718,12064.1718,12064.1718,12064.1718,12027.1572,12027.1572
12027.1572,12027.1572,12027.1572,12027.1572,12047.3495,12047.3495,12047.3495,12047.3495,12047.3495,12047.3495,12053.9168,12053.9168,12053.9168,12053.9168,12053.9168,12053.9168,12055.8405,12055.8405,12055.8405,12055.8405
12055.8405,12055.8405,12024.5234,12024.5234,12024.5234,12024.5234,12024.5234,12024.5234,12018.4244,12018.4244,12018.4244,12018.4244,12018.4244,12018.4244,11962.1097,11962.1097,11962.1097,11962.1097,11962.1097,11962.1097
11937.8509,11937.8509,11937.8509,11937.8509,11937.8509,11937.8509,11875.0568,11875.0568,11875.0568,11875.0568,11875.0568,11875.0568,11925.3582,11925.3582,11925.3582,11925.3582,11925.3582,11925.3582,11896.2324,11896.2324
11896.2324,11896.2324,11896.2324,11896.2324,11895.5684,11895.5684,11895.5684,11895.5684,11895.5684,11901.8943,11901.8943,11901.8943,11901.8943,11901.8943,11901.8943,11923.2997,11923.2997,11923.2997,11923.2997,11923.2997
11923.2997,11928.4221,11928.4221,11928.4221,11928.4221,11928.4221,11928.4221,11939.0690,11939.0690,11939.0690,11939.0690,11939.0690,11939.0690,11955.5983,11955.5983,11955.5983,11955.5983,11955.5983,11955.5983,11947.0504
11947.0504,11947.0504,11947.0504,11947.0504,11947.0504,11913.5524,11913.5524,11913.5524,11913.5524,11913.5524,11913.5524,11913.9093,11913.9093,11913.9093,11913.9093,11913.9093,11913.9093,11912.9181,11912.9181,11912.9181
